Value,Description,DTLS,Recommended
0,TLS_NULL_WITH_NULL_NULL,DTLS : Yes,Recommended : No
1,TLS_RSA_WITH_NULL_MD5,DTLS : Yes,Recommended : No
2,TLS_RSA_WITH_NULL_SHA,DTLS : Yes,Recommended : No
3,TLS_RSA_EXPORT_WITH_RC4_40_MD5,DTLS : No,Recommended : No
4,TLS_RSA_WITH_RC4_128_MD5,DTLS : No,Recommended : No
5,TLS_RSA_WITH_RC4_128_SHA,DTLS : No,Recommended : No
6,TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5,DTLS : Yes,Recommended : No
7,TLS_RSA_WITH_IDEA_CBC_SHA,DTLS : Yes,Recommended : No
8,TLS_RSA_EXPORT_WITH_DES40_CBC_SHA,DTLS : Yes,Recommended : No
9,TLS_RSA_WITH_DES_CBC_SHA,DTLS : Yes,Recommended : No
10,TLS_RSA_WITH_3DES_EDE_CBC_SHA,DTLS : Yes,Recommended : No
11,TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,DTLS : Yes,Recommended : No
12,TLS_DH_DSS_WITH_DES_CBC_SHA,DTLS : Yes,Recommended : No
13,TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA,DTLS : Yes,Recommended : No
14,TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA,DTLS : Yes,Recommended : No
15,TLS_DH_RSA_WITH_DES_CBC_SHA,DTLS : Yes,Recommended : No
16,TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA,DTLS : Yes,Recommended : No
17,TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,DTLS : Yes,Recommended : No
18,TLS_DHE_DSS_WITH_DES_CBC_SHA,DTLS : Yes,Recommended : No
19,TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA,DTLS : Yes,Recommended : No
20,TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA,DTLS : Yes,Recommended : No
21,TLS_DHE_RSA_WITH_DES_CBC_SHA,DTLS : Yes,Recommended : No
22,TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA,DTLS : Yes,Recommended : No
23,TLS_DH_anon_EXPORT_WITH_RC4_40_MD5,DTLS : No,Recommended : No
24,TLS_DH_anon_WITH_RC4_128_MD5,DTLS : No,Recommended : No
25,TLS_DH_anon_EXPORT_WITH_DES40_CBC_SHA,DTLS : Yes,Recommended : No
26,TLS_DH_anon_WITH_DES_CBC_SHA,DTLS : Yes,Recommended : No
27,TLS_DH_anon_WITH_3DES_EDE_CBC_SHA,DTLS : Yes,Recommended : No
30,TLS_KRB5_WITH_DES_CBC_SHA,DTLS : Yes,Recommended : No
