Value,Description,DTLS,Recommended
1,sect163k1,DTLS : Yes,Recommended : No
2,sect163r1,DTLS : Yes,Recommended : No
3,sect163r2,DTLS : Yes,Recommended : No
4,sect193r1,DTLS : Yes,Recommended : No
5,sect193r2,DTLS : Yes,Recommended : No
6,sect233k1,DTLS : Yes,Recommended : No
7,sect233r1,DTLS : Yes,Recommended : No
8,sect239k1,DTLS : Yes,Recommended : No
9,sect283k1,DTLS : Yes,Recommended : No
10,sect283r1,DTLS : Yes,Recommended : No
11,sect409k1,DTLS : Yes,Recommended : No
12,sect409r1,DTLS : Yes,Recommended : No
13,sect571k1,DTLS : Yes,Recommended : No
14,sect571r1,DTLS : Yes,Recommended : No
15,secp160k1,DTLS : Yes,Recommended : No
16,secp160r1,DTLS : Yes,Recommended : No
17,secp160r2,DTLS : Yes,Recommended : No
18,secp192k1,DTLS : Yes,Recommended : No
19,secp192r1,DTLS : Yes,Recommended : No
20,secp224k1,DTLS : Yes,Recommended : No
21,secp224r1,DTLS : Yes,Recommended : No
22,secp256k1,DTLS : Yes,Recommended : No
23,secp256r1,DTLS : Yes,Recommended : Yes
24,secp384r1,DTLS : Yes,Recommended : Yes
25,secp521r1,DTLS : Yes,Recommended : No
26,brainpoolP256r1,DTLS : Yes,Recommended : No
27,brainpoolP384r1,DTLS : Yes,Recommended : No
28,brainpoolP512r1,DTLS : Yes,Recommended : No
29,x25519,DTLS : Yes,Recommended : Yes
30,x448,DTLS : Yes,Recommended : Yes
31,brainpoolP256r1tls13,DTLS : Yes,Recommended : No
32,brainpoolP384r1tls13,DTLS : Yes,Recommended : No
33,brainpoolP512r1tls13,DTLS : Yes,Recommended : No
34,GC256A,DTLS : Yes,Recommended : No
35,GC256B,DTLS : Yes,Recommended : No
36,GC256C,DTLS : Yes,Recommended : No
37,GC256D,DTLS : Yes,Recommended : No
38,GC512A,DTLS : Yes,Recommended : No
39,GC512B,DTLS : Yes,Recommended : No
40,GC512C,DTLS : Yes,Recommended : No
41,curveSM2,DTLS : No,Recommended : No
256,ffdhe2048,DTLS : Yes,Recommended : No
257,ffdhe3072,DTLS : Yes,Recommended : No
258,ffdhe4096,DTLS : Yes,Recommended : No
259,ffdhe6144,DTLS : Yes,Recommended : No
260,ffdhe8192,DTLS : Yes,Recommended : No
65280,Unassigned,,
65281,arbitrary_explicit_prime_curves,DTLS : Yes,Recommended : No
65282,arbitrary_explicit_char2_curves,DTLS : Yes,Recommended : No
