Preference,OpenSSL,TLS,Kx,Au,Enc,Mac,IANA_Ciphers,Hex_Value
1,TLS_AES_256_GCM_SHA384,TLSv1.3,Kx=any,Au=any,Enc=AESGCM(256),Mac=AEAD,TLS_AES_256_GCM_SHA384,4866
2,TLS_CHACHA20_POLY1305_SHA256,TLSv1.3,Kx=any,Au=any,Enc=CHACHA20/POLY1305(256),Mac=AEAD,TLS_CHACHA20_POLY1305_SHA256,4867
3,TLS_AES_128_GCM_SHA256,TLSv1.3,Kx=any,Au=any,Enc=AESGCM(128),Mac=AEAD,TLS_AES_128_GCM_SHA256,4865
4,ECDHE-ECDSA-AES256-GCM-SHA384,TLSv1.2,Kx=ECDH,Au=ECDSA,Enc=AESGCM(256),Mac=AEAD,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,49196
5,ECDHE-RSA-AES256-GCM-SHA384,TLSv1.2,Kx=ECDH,Au=RSA,Enc=AESGCM(256),Mac=AEAD,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,49200
6,DHE-DSS-AES256-GCM-SHA384,TLSv1.2,Kx=DH,Au=DSS,Enc=AESGCM(256),Mac=AEAD,TLS_DHE_DSS_WITH_AES_256_GCM_SHA384,163
7,DHE-RSA-AES256-GCM-SHA384,TLSv1.2,Kx=DH,Au=RSA,Enc=AESGCM(256),Mac=AEAD,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384,159
8,ECDHE-ECDSA-CHACHA20-POLY1305,TLSv1.2,Kx=ECDH,Au=ECDSA,Enc=CHACHA20/POLY1305(256),Mac=AEAD,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,52393
9,ECDHE-RSA-CHACHA20-POLY1305,TLSv1.2,Kx=ECDH,Au=RSA,Enc=CHACHA20/POLY1305(256),Mac=AEAD,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,52392
10,DHE-RSA-CHACHA20-POLY1305,TLSv1.2,Kx=DH,Au=RSA,Enc=CHACHA20/POLY1305(256),Mac=AEAD,TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256,52394
11,ECDHE-ECDSA-AES256-CCM8,TLSv1.2,Kx=ECDH,Au=ECDSA,Enc=AESCCM8(256),Mac=AEAD,TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8,49327
12,ECDHE-ECDSA-AES256-CCM,TLSv1.2,Kx=ECDH,Au=ECDSA,Enc=AESCCM(256),Mac=AEAD,TLS_ECDHE_ECDSA_WITH_AES_256_CCM,49325
13,DHE-RSA-AES256-CCM8,TLSv1.2,Kx=DH,Au=RSA,Enc=AESCCM8(256),Mac=AEAD,TLS_DHE_RSA_WITH_AES_256_CCM_8,49315
