Value,Extension_Name,TLSv3,Recommended
0,server_name,"CH, EE",Recommended : Yes
1,max_fragment_length,"CH, EE",Recommended : No
2,client_certificate_url,???,Recommended : Yes
3,trusted_ca_keys,???,Recommended : Yes
4,truncated_hmac,???,Recommended : No
5,status_request,"CH, CR, CT",Recommended : Yes
6,user_mapping,???,Recommended : Yes
7,client_authz,???,Recommended : No
8,server_authz,???,Recommended : No
9,cert_type,???,Recommended : No
10,"supported_groups (renamed from ""elliptic_curves"")","CH, EE",Recommended : Yes
11,ec_point_formats,???,Recommended : Yes
12,srp,???,Recommended : No
13,signature_algorithms,"CH, CR",Recommended : Yes
14,use_srtp,"CH, EE",Recommended : Yes
15,heartbeat,"CH, EE",Recommended : Yes
16,application_layer_protocol_negotiation,"CH, EE",Recommended : Yes
17,status_request_v2,???,Recommended : Yes
18,signed_certificate_timestamp,"CH, CR, CT",Recommended : No
19,client_certificate_type,"CH, EE",Recommended : Yes
20,server_certificate_type,"CH, EE",Recommended : Yes
21,padding,CH,Recommended : Yes
22,encrypt_then_mac,???,Recommended : Yes
23,extended_master_secret,???,Recommended : Yes
24,token_binding,???,Recommended : Yes
25,cached_info,???,Recommended : Yes
26,tls_lts,???,Recommended : No
27,compress_certificate,"CH, CR",Recommended : Yes
28,record_size_limit,"CH, EE",Recommended : Yes
29,pwd_protect,CH,Recommended : No
30,pwd_clear,CH,Recommended : No
31,password_salt,"CH, SH, HRR",Recommended : No
32,ticket_pinning,"CH, EE",Recommended : No
33,tls_cert_with_extern_psk,"CH, SH",Recommended : No
34,delegated_credentials,"CH, CR, CT",Recommended : No
35,"session_ticket (renamed from ""SessionTicket TLS"")",???,Recommended : Yes
36,TLMSP,???,Recommended : No
37,TLMSP_proxying,???,Recommended : No
38,TLMSP_delegate,???,Recommended : No
39,supported_ekt_ciphers,"CH, EE",Recommended : Yes
40,Reserved,???,???
41,pre_shared_key,"CH, SH",Recommended : Yes
42,early_data,"CH, EE, NST",Recommended : Yes
43,supported_versions,"CH, SH, HRR",Recommended : Yes
44,cookie,"CH, HRR",Recommended : Yes
45,psk_key_exchange_modes,CH,Recommended : Yes
46,Reserved,???,???
47,certificate_authorities,"CH, CR",Recommended : Yes
48,oid_filters,CR,Recommended : Yes
49,post_handshake_auth,CH,Recommended : Yes
50,signature_algorithms_cert,"CH, CR",Recommended : Yes
51,key_share,"CH, SH, HRR",Recommended : Yes
52,transparency_info,"CH, CR, CT",Recommended : No
53,"connection_id (TEMPORARY - registered 2019-07-02, extension registered 2021-06-04, expires 2022-07-02)",???,Recommended : No
54,Unassigned,???,???
55,external_id_hash,"CH, EE",Recommended : Yes
56,external_session_id,"CH, EE",Recommended : Yes
57,quic_transport_parameters,"CH, EE",Recommended : Yes
58,ticket_request,"CH, EE",Recommended : Yes
